Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11	TaskObject#12	TaskObject#13	TaskObject#14	TaskObject#15	TaskObject#16	TaskObject#17
109	'imgPerTrial',009,'fixationImage01ID',005,'fixationImage02ID',016,'fixationImage03ID',027,'fixationImage04ID',038,'fixationImage05ID',049,'fixationImage06ID',060,'fixationImage07ID',071,'fixationImage08ID',082,'fixationImage09ID',093,'fixationImage10ID',001,'fixationImage01File','.\stim\005','fixationImage02File','.\stim\016','fixationImage03File','.\stim\027','fixationImage04File','.\stim\038','fixationImage05File','.\stim\049','fixationImage06File','.\stim\060','fixationImage07File','.\stim\071','fixationImage08File','.\stim\082','fixationImage09File','.\stim\093','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	6	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\005, 0, 0)	pic(.\stim\016, 0, 0)	pic(.\stim\027, 0, 0)	pic(.\stim\038, 0, 0)	pic(.\stim\049, 0, 0)	pic(.\stim\060, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\082, 0, 0)	pic(.\stim\093, 0, 0)	pic(.\stim\001, 0, 0)
110	'imgPerTrial',009,'fixationImage01ID',011,'fixationImage02ID',022,'fixationImage03ID',033,'fixationImage04ID',044,'fixationImage05ID',055,'fixationImage06ID',066,'fixationImage07ID',077,'fixationImage08ID',088,'fixationImage09ID',099,'fixationImage10ID',001,'fixationImage01File','.\stim\011','fixationImage02File','.\stim\022','fixationImage03File','.\stim\033','fixationImage04File','.\stim\044','fixationImage05File','.\stim\055','fixationImage06File','.\stim\066','fixationImage07File','.\stim\077','fixationImage08File','.\stim\088','fixationImage09File','.\stim\099','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	6	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\011, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\099, 0, 0)	pic(.\stim\001, 0, 0)
111	'imgPerTrial',009,'fixationImage01ID',095,'fixationImage02ID',084,'fixationImage03ID',073,'fixationImage04ID',062,'fixationImage05ID',051,'fixationImage06ID',040,'fixationImage07ID',029,'fixationImage08ID',018,'fixationImage09ID',007,'fixationImage10ID',001,'fixationImage01File','.\stim\095','fixationImage02File','.\stim\084','fixationImage03File','.\stim\073','fixationImage04File','.\stim\062','fixationImage05File','.\stim\051','fixationImage06File','.\stim\040','fixationImage07File','.\stim\029','fixationImage08File','.\stim\018','fixationImage09File','.\stim\007','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	6	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\095, 0, 0)	pic(.\stim\084, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\007, 0, 0)	pic(.\stim\001, 0, 0)
112	'imgPerTrial',009,'fixationImage01ID',095,'fixationImage02ID',084,'fixationImage03ID',073,'fixationImage04ID',062,'fixationImage05ID',051,'fixationImage06ID',040,'fixationImage07ID',029,'fixationImage08ID',018,'fixationImage09ID',007,'fixationImage10ID',001,'fixationImage01File','.\stim\095','fixationImage02File','.\stim\084','fixationImage03File','.\stim\073','fixationImage04File','.\stim\062','fixationImage05File','.\stim\051','fixationImage06File','.\stim\040','fixationImage07File','.\stim\029','fixationImage08File','.\stim\018','fixationImage09File','.\stim\007','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\095, 0, 0)	pic(.\stim\084, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\007, 0, 0)	pic(.\stim\001, 0, 0)
113	'imgPerTrial',009,'fixationImage01ID',009,'fixationImage02ID',020,'fixationImage03ID',031,'fixationImage04ID',042,'fixationImage05ID',053,'fixationImage06ID',064,'fixationImage07ID',075,'fixationImage08ID',086,'fixationImage09ID',097,'fixationImage10ID',001,'fixationImage01File','.\stim\009','fixationImage02File','.\stim\020','fixationImage03File','.\stim\031','fixationImage04File','.\stim\042','fixationImage05File','.\stim\053','fixationImage06File','.\stim\064','fixationImage07File','.\stim\075','fixationImage08File','.\stim\086','fixationImage09File','.\stim\097','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\009, 0, 0)	pic(.\stim\020, 0, 0)	pic(.\stim\031, 0, 0)	pic(.\stim\042, 0, 0)	pic(.\stim\053, 0, 0)	pic(.\stim\064, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\086, 0, 0)	pic(.\stim\097, 0, 0)	pic(.\stim\001, 0, 0)
114	'imgPerTrial',009,'fixationImage01ID',007,'fixationImage02ID',018,'fixationImage03ID',029,'fixationImage04ID',040,'fixationImage05ID',051,'fixationImage06ID',062,'fixationImage07ID',073,'fixationImage08ID',084,'fixationImage09ID',095,'fixationImage10ID',001,'fixationImage01File','.\stim\007','fixationImage02File','.\stim\018','fixationImage03File','.\stim\029','fixationImage04File','.\stim\040','fixationImage05File','.\stim\051','fixationImage06File','.\stim\062','fixationImage07File','.\stim\073','fixationImage08File','.\stim\084','fixationImage09File','.\stim\095','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\007, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\084, 0, 0)	pic(.\stim\095, 0, 0)	pic(.\stim\001, 0, 0)
115	'imgPerTrial',009,'fixationImage01ID',002,'fixationImage02ID',013,'fixationImage03ID',024,'fixationImage04ID',035,'fixationImage05ID',046,'fixationImage06ID',057,'fixationImage07ID',068,'fixationImage08ID',079,'fixationImage09ID',090,'fixationImage10ID',001,'fixationImage01File','.\stim\002','fixationImage02File','.\stim\013','fixationImage03File','.\stim\024','fixationImage04File','.\stim\035','fixationImage05File','.\stim\046','fixationImage06File','.\stim\057','fixationImage07File','.\stim\068','fixationImage08File','.\stim\079','fixationImage09File','.\stim\090','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\002, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\090, 0, 0)	pic(.\stim\001, 0, 0)
116	'imgPerTrial',009,'fixationImage01ID',007,'fixationImage02ID',018,'fixationImage03ID',029,'fixationImage04ID',040,'fixationImage05ID',051,'fixationImage06ID',062,'fixationImage07ID',073,'fixationImage08ID',084,'fixationImage09ID',095,'fixationImage10ID',001,'fixationImage01File','.\stim\007','fixationImage02File','.\stim\018','fixationImage03File','.\stim\029','fixationImage04File','.\stim\040','fixationImage05File','.\stim\051','fixationImage06File','.\stim\062','fixationImage07File','.\stim\073','fixationImage08File','.\stim\084','fixationImage09File','.\stim\095','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\007, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\084, 0, 0)	pic(.\stim\095, 0, 0)	pic(.\stim\001, 0, 0)
117	'imgPerTrial',009,'fixationImage01ID',093,'fixationImage02ID',082,'fixationImage03ID',071,'fixationImage04ID',060,'fixationImage05ID',049,'fixationImage06ID',038,'fixationImage07ID',027,'fixationImage08ID',016,'fixationImage09ID',005,'fixationImage10ID',001,'fixationImage01File','.\stim\093','fixationImage02File','.\stim\082','fixationImage03File','.\stim\071','fixationImage04File','.\stim\060','fixationImage05File','.\stim\049','fixationImage06File','.\stim\038','fixationImage07File','.\stim\027','fixationImage08File','.\stim\016','fixationImage09File','.\stim\005','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\093, 0, 0)	pic(.\stim\082, 0, 0)	pic(.\stim\071, 0, 0)	pic(.\stim\060, 0, 0)	pic(.\stim\049, 0, 0)	pic(.\stim\038, 0, 0)	pic(.\stim\027, 0, 0)	pic(.\stim\016, 0, 0)	pic(.\stim\005, 0, 0)	pic(.\stim\001, 0, 0)
118	'imgPerTrial',009,'fixationImage01ID',003,'fixationImage02ID',014,'fixationImage03ID',025,'fixationImage04ID',036,'fixationImage05ID',047,'fixationImage06ID',058,'fixationImage07ID',069,'fixationImage08ID',080,'fixationImage09ID',091,'fixationImage10ID',001,'fixationImage01File','.\stim\003','fixationImage02File','.\stim\014','fixationImage03File','.\stim\025','fixationImage04File','.\stim\036','fixationImage05File','.\stim\047','fixationImage06File','.\stim\058','fixationImage07File','.\stim\069','fixationImage08File','.\stim\080','fixationImage09File','.\stim\091','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\003, 0, 0)	pic(.\stim\014, 0, 0)	pic(.\stim\025, 0, 0)	pic(.\stim\036, 0, 0)	pic(.\stim\047, 0, 0)	pic(.\stim\058, 0, 0)	pic(.\stim\069, 0, 0)	pic(.\stim\080, 0, 0)	pic(.\stim\091, 0, 0)	pic(.\stim\001, 0, 0)
119	'imgPerTrial',009,'fixationImage01ID',009,'fixationImage02ID',020,'fixationImage03ID',031,'fixationImage04ID',042,'fixationImage05ID',053,'fixationImage06ID',064,'fixationImage07ID',075,'fixationImage08ID',086,'fixationImage09ID',097,'fixationImage10ID',001,'fixationImage01File','.\stim\009','fixationImage02File','.\stim\020','fixationImage03File','.\stim\031','fixationImage04File','.\stim\042','fixationImage05File','.\stim\053','fixationImage06File','.\stim\064','fixationImage07File','.\stim\075','fixationImage08File','.\stim\086','fixationImage09File','.\stim\097','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\009, 0, 0)	pic(.\stim\020, 0, 0)	pic(.\stim\031, 0, 0)	pic(.\stim\042, 0, 0)	pic(.\stim\053, 0, 0)	pic(.\stim\064, 0, 0)	pic(.\stim\075, 0, 0)	pic(.\stim\086, 0, 0)	pic(.\stim\097, 0, 0)	pic(.\stim\001, 0, 0)
120	'imgPerTrial',009,'fixationImage01ID',008,'fixationImage02ID',019,'fixationImage03ID',030,'fixationImage04ID',041,'fixationImage05ID',052,'fixationImage06ID',063,'fixationImage07ID',074,'fixationImage08ID',085,'fixationImage09ID',096,'fixationImage10ID',001,'fixationImage01File','.\stim\008','fixationImage02File','.\stim\019','fixationImage03File','.\stim\030','fixationImage04File','.\stim\041','fixationImage05File','.\stim\052','fixationImage06File','.\stim\063','fixationImage07File','.\stim\074','fixationImage08File','.\stim\085','fixationImage09File','.\stim\096','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\008, 0, 0)	pic(.\stim\019, 0, 0)	pic(.\stim\030, 0, 0)	pic(.\stim\041, 0, 0)	pic(.\stim\052, 0, 0)	pic(.\stim\063, 0, 0)	pic(.\stim\074, 0, 0)	pic(.\stim\085, 0, 0)	pic(.\stim\096, 0, 0)	pic(.\stim\001, 0, 0)
121	'imgPerTrial',009,'fixationImage01ID',098,'fixationImage02ID',087,'fixationImage03ID',076,'fixationImage04ID',065,'fixationImage05ID',054,'fixationImage06ID',043,'fixationImage07ID',032,'fixationImage08ID',021,'fixationImage09ID',010,'fixationImage10ID',001,'fixationImage01File','.\stim\098','fixationImage02File','.\stim\087','fixationImage03File','.\stim\076','fixationImage04File','.\stim\065','fixationImage05File','.\stim\054','fixationImage06File','.\stim\043','fixationImage07File','.\stim\032','fixationImage08File','.\stim\021','fixationImage09File','.\stim\010','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\098, 0, 0)	pic(.\stim\087, 0, 0)	pic(.\stim\076, 0, 0)	pic(.\stim\065, 0, 0)	pic(.\stim\054, 0, 0)	pic(.\stim\043, 0, 0)	pic(.\stim\032, 0, 0)	pic(.\stim\021, 0, 0)	pic(.\stim\010, 0, 0)	pic(.\stim\001, 0, 0)
122	'imgPerTrial',009,'fixationImage01ID',092,'fixationImage02ID',081,'fixationImage03ID',070,'fixationImage04ID',059,'fixationImage05ID',048,'fixationImage06ID',037,'fixationImage07ID',026,'fixationImage08ID',015,'fixationImage09ID',004,'fixationImage10ID',001,'fixationImage01File','.\stim\092','fixationImage02File','.\stim\081','fixationImage03File','.\stim\070','fixationImage04File','.\stim\059','fixationImage05File','.\stim\048','fixationImage06File','.\stim\037','fixationImage07File','.\stim\026','fixationImage08File','.\stim\015','fixationImage09File','.\stim\004','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\092, 0, 0)	pic(.\stim\081, 0, 0)	pic(.\stim\070, 0, 0)	pic(.\stim\059, 0, 0)	pic(.\stim\048, 0, 0)	pic(.\stim\037, 0, 0)	pic(.\stim\026, 0, 0)	pic(.\stim\015, 0, 0)	pic(.\stim\004, 0, 0)	pic(.\stim\001, 0, 0)
123	'imgPerTrial',009,'fixationImage01ID',095,'fixationImage02ID',084,'fixationImage03ID',073,'fixationImage04ID',062,'fixationImage05ID',051,'fixationImage06ID',040,'fixationImage07ID',029,'fixationImage08ID',018,'fixationImage09ID',007,'fixationImage10ID',001,'fixationImage01File','.\stim\095','fixationImage02File','.\stim\084','fixationImage03File','.\stim\073','fixationImage04File','.\stim\062','fixationImage05File','.\stim\051','fixationImage06File','.\stim\040','fixationImage07File','.\stim\029','fixationImage08File','.\stim\018','fixationImage09File','.\stim\007','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\095, 0, 0)	pic(.\stim\084, 0, 0)	pic(.\stim\073, 0, 0)	pic(.\stim\062, 0, 0)	pic(.\stim\051, 0, 0)	pic(.\stim\040, 0, 0)	pic(.\stim\029, 0, 0)	pic(.\stim\018, 0, 0)	pic(.\stim\007, 0, 0)	pic(.\stim\001, 0, 0)
124	'imgPerTrial',009,'fixationImage01ID',002,'fixationImage02ID',013,'fixationImage03ID',024,'fixationImage04ID',035,'fixationImage05ID',046,'fixationImage06ID',057,'fixationImage07ID',068,'fixationImage08ID',079,'fixationImage09ID',090,'fixationImage10ID',001,'fixationImage01File','.\stim\002','fixationImage02File','.\stim\013','fixationImage03File','.\stim\024','fixationImage04File','.\stim\035','fixationImage05File','.\stim\046','fixationImage06File','.\stim\057','fixationImage07File','.\stim\068','fixationImage08File','.\stim\079','fixationImage09File','.\stim\090','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\002, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\090, 0, 0)	pic(.\stim\001, 0, 0)
125	'imgPerTrial',009,'fixationImage01ID',090,'fixationImage02ID',079,'fixationImage03ID',068,'fixationImage04ID',057,'fixationImage05ID',046,'fixationImage06ID',035,'fixationImage07ID',024,'fixationImage08ID',013,'fixationImage09ID',002,'fixationImage10ID',001,'fixationImage01File','.\stim\090','fixationImage02File','.\stim\079','fixationImage03File','.\stim\068','fixationImage04File','.\stim\057','fixationImage05File','.\stim\046','fixationImage06File','.\stim\035','fixationImage07File','.\stim\024','fixationImage08File','.\stim\013','fixationImage09File','.\stim\002','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\090, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\002, 0, 0)	pic(.\stim\001, 0, 0)
126	'imgPerTrial',009,'fixationImage01ID',002,'fixationImage02ID',013,'fixationImage03ID',024,'fixationImage04ID',035,'fixationImage05ID',046,'fixationImage06ID',057,'fixationImage07ID',068,'fixationImage08ID',079,'fixationImage09ID',090,'fixationImage10ID',001,'fixationImage01File','.\stim\002','fixationImage02File','.\stim\013','fixationImage03File','.\stim\024','fixationImage04File','.\stim\035','fixationImage05File','.\stim\046','fixationImage06File','.\stim\057','fixationImage07File','.\stim\068','fixationImage08File','.\stim\079','fixationImage09File','.\stim\090','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\002, 0, 0)	pic(.\stim\013, 0, 0)	pic(.\stim\024, 0, 0)	pic(.\stim\035, 0, 0)	pic(.\stim\046, 0, 0)	pic(.\stim\057, 0, 0)	pic(.\stim\068, 0, 0)	pic(.\stim\079, 0, 0)	pic(.\stim\090, 0, 0)	pic(.\stim\001, 0, 0)
127	'imgPerTrial',009,'fixationImage01ID',011,'fixationImage02ID',022,'fixationImage03ID',033,'fixationImage04ID',044,'fixationImage05ID',055,'fixationImage06ID',066,'fixationImage07ID',077,'fixationImage08ID',088,'fixationImage09ID',099,'fixationImage10ID',001,'fixationImage01File','.\stim\011','fixationImage02File','.\stim\022','fixationImage03File','.\stim\033','fixationImage04File','.\stim\044','fixationImage05File','.\stim\055','fixationImage06File','.\stim\066','fixationImage07File','.\stim\077','fixationImage08File','.\stim\088','fixationImage09File','.\stim\099','fixationImage10File','.\stim\001','trialFlag',001,'holdInitPeriod',10000,'fixInitPeriod',500,'stimOnPeriod',200,'stimOffPeriod',200,'stimFixCueColorFlag',000,'stimFixCueAboveStimFlag',000	1	7	fixTiming	sqr([3.0 2.5], [1 1 1], 1, 0, 19)	crc(4, [0 0 0.33], 1, 20, 0)	crc(0.1, [1 1 0], 1, 0, 0)	crc(0.1, [0 0 0], 1, 0, 0)	crc(0.5, [0.5 0.5 0.5], 1, 0, 0)	snd(.\aud\correct)	snd(.\aud\incorrect)	pic(.\stim\011, 0, 0)	pic(.\stim\022, 0, 0)	pic(.\stim\033, 0, 0)	pic(.\stim\044, 0, 0)	pic(.\stim\055, 0, 0)	pic(.\stim\066, 0, 0)	pic(.\stim\077, 0, 0)	pic(.\stim\088, 0, 0)	pic(.\stim\099, 0, 0)	pic(.\stim\001, 0, 0)
